emb 0,emb 1,emb 2,emb 3,emb 4,emb 5,emb 6,emb 7,labels
1.8976152,1.987688,2.518542,1.603028,1.1805654,0.43753472,1.1555399,1.1603237,neutral
1.8146746,1.8840791,2.8147235,1.4892213,1.4371594,0.5966588,0.9016022,1.5001134,neutral
1.8142105,2.0287726,2.4884968,1.9194566,0.94670343,0.40117657,1.16561,1.4792777,neutral
2.1499608,1.9486369,2.5624714,1.6083316,1.2212809,0.23762651,1.2208686,1.2935257,neutral
1.80882,2.132181,2.799304,1.559543,1.36779,0.5129665,1.0303205,1.1849793,neutral
2.09818,2.1318076,2.5295835,1.7655808,1.0000589,0.46753407,1.20982,1.2975843,neutral
1.5661888,2.184062,2.6250873,1.6746614,1.2031665,0.19683751,1.2906582,1.5896374,neutral
1.7576067,2.4253116,2.824658,1.9260495,1.4234011,0.64998484,1.0299015,1.4729646,neutral
1.9574693,2.2445986,2.8473155,1.9011849,1.017593,0.4734349,1.2077025,1.3972235,neutral
1.7801551,2.4595666,2.680782,1.6591488,1.1457855,0.35789728,1.3605837,1.2800994,neutral
